t,b,s,h,l,v
1580005819,8324.99,8325,8420,8282.25,22181.045324
1580005819,8324.99,8325,8420,8282.25,22181.045324
1580005819,8324.99,8325,8420,8282.25,22181.045324
1580005820,8324.99,8325,8420,8282.25,22180.984988
1580005820,8324.99,8325,8420,8282.25,22180.984988
1580005820,8324.98,8325,8420,8282.25,22181.003057
1580005820,8324.95,8325,8420,8282.25,22180.902914
1580005820,8324.93,8325,8420,8282.25,22180.841358
1580005821,8324.89,8325,8420,8282.25,22180.782502
1580005821,8324.87,8325,8420,8282.25,22180.782502
1580005821,8324.86,8325,8420,8282.25,22180.6823
1580005821,8324.85,8325,8420,8282.25,22180.6823
1580005821,8324.89,8325,8420,8282.25,22180.6823
1580005821,8324.95,8325,8420,8282.25,22180.622298
1580005821,8324.99,8325,8420,8282.25,22180.622298
1580005821,8324.99,8325,8420,8282.25,22180.622298
1580005822,8324.99,8325,8420,8282.25,22180.562168
1580005822,8324.99,8325,8420,8282.25,22180.562168
1580005822,8324.99,8325,8420,8282.25,22180.562168
1580005822,8324.99,8325,8420,8282.25,22180.596389
1580005822,8324.99,8325,8420,8282.25,22180.568409
1580005822,8324.99,8325,8420,8282.25,22180.568409
1580005822,8324.99,8325,8420,8282.25,22180.568409
1580005822,8324.99,8325,8420,8282.25,22180.568409
1580005822,8324.99,8325,8420,8282.25,22180.568409
1580005823,8324.99,8325,8420,8282.25,22180.448133
1580005823,8324.99,8325,8420,8282.25,22180.448133
1580005823,8324.99,8325,8420,8282.25,22180.448133
1580005824,8324.99,8325,8420,8282.25,22180.38912
1580005824,8324.99,8325,8420,8282.25,22180.38912
1580005824,8324.99,8325,8420,8282.25,22180.38912
1580005824,8324.99,8325,8420,8282.25,22180.18656
1580005824,8324.99,8325,8420,8282.25,22180.046548
1580005824,8324.99,8325,8420,8282.25,22180.046548
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005825,8324.99,8325,8420,8282.25,22180.048545
1580005826,8324.96,8325,8420,8282.25,22179.470121
1580005826,8324.95,8325,8420,8282.25,22179.467363
1580005826,8324.94,8325,8420,8282.25,22179.467363
1580005826,8324.93,8325,8420,8282.25,22179.527393
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005827,8324.99,8325,8420,8282.25,22178.945063
1580005828,8324.99,8325,8420,8282.25,22178.679315
1580005828,8324.99,8325,8420,8282.25,22178.679315
1580005828,8324.96,8325,8420,8282.25,22178.679315
1580005828,8324.95,8325,8420,8282.25,22178.679315
1580005828,8324.96,8325,8420,8282.25,22178.679315
1580005829,8324.99,8325,8420,8282.25,22178.680647
1580005829,8324.99,8325,8420,8282.25,22178.680647
